Arrtist (via :artist_id),Year,Title,Image URL
The Zombie Dandies,2016,Dandy's Little Monsters,https://freemusicarchive.org/file/images/albums/The_Zombie_Dandies_-_Dandys_Little_Monsters_-_2016121055650435.png
The Zombie Dandies,2015,Lo-Fi Heroes,https://freemusicarchive.org/file/images/albums/Zombie_Dandies_-_Lo-Fi_Heroes_-_20150309121820679.jpg
The Zombie Dandies,2016,Zombie Dandies EP,https://freemusicarchive.org/file/images/albums/The_Zombie_Dandies_-_Zombie_Dandies_EP_-_2016121063454786.jpg
Feminine,2016,Lorelei,https://freemusicarchive.org/file/images/albums/Feminine_-_Lorelei_-_2016121050422660.jpg
Starover Blue,2016,Spacegeist,https://freemusicarchive.org/file/images/albums/Starover_Blue_-_Spacegeist_-_20161012150731223.jpg
Monk Turner + Fascinoma,2011,Emergency Songs,https://freemusicarchive.org/file/images/albums/Monk_Turner__Fascinoma_-_Emergency_Songs_-_20110301155916260.jpg
Monk Turner + Fascinoma,2012,Entries,https://freemusicarchive.org/file/images/albums/The_New_Birthday_Song_Contest_-_20121206162017883.png
The Kyoto Connection,2013,Wake Up,https://freemusicarchive.org/file/images/albums/The_Kyoto_Connection_-_Wake_Up_-_20130527135416039.jpg
The Kyoto Connection,2016,Kyoto Soundscapes,https://freemusicarchive.org/file/images/albums/The_Kyoto_Connection_-_Kyoto_Soundscapes_-_20161001181800330.jpg
The Kyoto Connection,2016,A Christmas Meditation,https://freemusicarchive.org/file/images/albums/The_Kyoto_Connection_-_A_Christmas_Meditation_-_20160314105751250.jpg
The Kyoto Connection,2011,FATHER | SON,https://freemusicarchive.org/file/images/albums/The_Kyoto_Connection_-_FATHER__SON_-_20111025125214777.jpg
The Kyoto Connection,2011,No Headphones Required,https://freemusicarchive.org/file/images/albums/The_Kyoto_Connection_-_No_Headphones_Required_-_20111025140304501.jpg
The Kyoto Connection,2011,The First Voyage,https://freemusicarchive.org/file/images/albums/The_Kyoto_Connection_-_The_First_Voyage_-_20111026134400959.jpg
The Kyoto Connection,2011,The Second Voyage,https://freemusicarchive.org/file/images/albums/The_Kyoto_Connection_-_The_Second_Voyage_-_20111025153038348.jpg
The Kyoto Connection,2012,En attendant Noël...,https://freemusicarchive.org/file/images/albums/adiffuser_-_En_attendant_Noel_-_2012122511719579.jpg
Tours,2012,Enthusiast,https://freemusicarchive.org/file/images/albums/Tours_-_Enthusiast_-_20120828153001328.png
